1.074400000000000000e+04,5.773740892844173800e+00,7.379424443047031268e+00
2.074400000000000000e+04,7.741361257531566231e+00,1.822858363831631934e+01
3.074400000000000000e+04,1.916492816077841255e+01,1.296006536359931083e+01
4.074400000000000000e+04,3.032237718353338352e+01,3.457131834184372821e+01
5.074400000000000000e+04,4.891809408062709252e+01,3.528569781912091941e+01
6.074400000000000000e+04,5.838520711955386133e+01,3.491088667807526491e+01
7.074400000000000000e+04,5.372020289293479323e+01,3.325566149080248124e+01
8.074400000000000000e+04,5.813509780497069102e+01,1.205540572009452944e+02
9.074400000000000000e+04,1.185530690810175827e+02,1.262558839951192624e+02
1.007440000000000000e+05,1.932155646671793079e+02,3.520171418122415474e+01
1.107440000000000000e+05,1.080531121958795353e+02,2.155742327334298238e+02
1.207440000000000000e+05,2.369149353805296130e+02,2.295061961063960609e+02
1.307440000000000000e+05,1.015858666898924696e+02,4.603420797042655011e+01
1.407440000000000000e+05,2.491478837934513422e+02,8.913099028625474318e+01
1.507440000000000000e+05,2.571724390758930099e+02,2.604935897123513655e+02
1.607440000000000000e+05,3.017200158670712540e+02,2.932291674119507547e+02
1.707440000000000000e+05,9.116977354874627792e+01,3.524942655618685876e+02
1.807440000000000000e+05,3.203717338607331726e+02,3.496884892632824631e+02
1.907440000000000000e+05,3.670543047412576243e+02,3.670290486363730906e+02
2.007440000000000000e+05,3.861777139594341293e+02,3.804234088035399282e+02
2.107440000000000000e+05,3.815947153838450276e+02,3.883275970161943178e+02
2.207440000000000000e+05,3.944083257243884759e+02,4.053687920701031544e+02
2.307440000000000000e+05,3.880494013922207159e+02,4.619686296815356172e+02
2.407440000000000000e+05,3.944681143598676840e+02,3.746543145826043428e+02
2.507440000000000000e+05,3.894546405171395804e+02,4.542622604466171765e+02
2.607440000000000000e+05,4.230488908976246876e+02,4.083801418320419998e+02
2.707440000000000000e+05,4.289276221619048215e+02,4.082310117735418089e+02
2.807440000000000000e+05,4.242915873428570990e+02,4.465625094761034006e+02
2.907440000000000000e+05,3.995270530481751621e+02,4.033043651922207005e+02
3.007440000000000000e+05,4.151943789832923812e+02,4.510397386487208564e+02
3.107440000000000000e+05,4.158311681357924954e+02,4.403010975585272604e+02
3.207440000000000000e+05,4.278693691306702931e+02,4.639414473762027455e+02
3.307440000000000000e+05,4.398780919478942906e+02,4.309414737283548220e+02
3.407440000000000000e+05,4.649921136593224560e+02,4.487232662520366944e+02
3.507440000000000000e+05,4.315868436365099114e+02,4.264343371284770683e+02
3.607440000000000000e+05,4.133215948266237660e+02,4.523730628566077030e+02
3.707440000000000000e+05,4.318098182392944864e+02,4.509367143803040676e+02
3.807440000000000000e+05,4.341437525857230071e+02,4.395366768958302259e+02
3.907440000000000000e+05,4.238498947522612070e+02,4.416556325383762669e+02
4.007440000000000000e+05,4.500447738382039233e+02,4.657445349108468804e+02
4.107440000000000000e+05,4.687889010559267717e+02,4.447272429722173683e+02
4.207440000000000000e+05,4.635847616535988323e+02,4.852209323902739015e+02
4.307440000000000000e+05,4.677278497133141855e+02,4.860209918821516339e+02
4.407440000000000000e+05,4.550713383895716788e+02,4.582932137448095204e+02
4.507440000000000000e+05,4.644041069033578992e+02,4.897376401821336458e+02
4.607440000000000000e+05,4.912119396663381394e+02,4.797359924608597339e+02
4.707440000000000000e+05,4.738921540832638470e+02,5.028597303370377176e+02
4.807440000000000000e+05,4.799028936693356400e+02,4.924049221603021351e+02
4.907440000000000000e+05,4.981212305541760088e+02,4.771198581587453305e+02
5.007440000000000000e+05,4.744878407025578326e+02,4.884355532191665361e+02
5.107440000000000000e+05,4.549867365162126021e+02,4.755119724666801631e+02
5.207440000000000000e+05,4.926051698530868066e+02,4.392149509548119681e+02
5.307440000000000000e+05,4.915388691603108668e+02,4.845335121582624538e+02
5.407440000000000000e+05,4.744220007989303554e+02,4.567459939277723038e+02
5.507440000000000000e+05,4.889456772802482192e+02,5.028166099965678768e+02
5.607440000000000000e+05,4.747247853011554071e+02,4.918911933276590389e+02
5.707440000000000000e+05,4.616082459172235417e+02,5.053764529669350054e+02
5.807440000000000000e+05,4.908661791881060026e+02,4.929272260409065325e+02
5.907440000000000000e+05,4.623571311745590720e+02,5.119802458162674270e+02
6.007440000000000000e+05,4.801480242166059611e+02,4.771933211801249968e+02
6.107440000000000000e+05,4.698669722750262281e+02,4.751716929342914568e+02
6.207440000000000000e+05,4.755334985912543857e+02,4.394865772047605219e+02
6.307440000000000000e+05,4.691018688873024871e+02,5.155983363626020264e+02
6.407440000000000000e+05,4.782289367662725681e+02,5.040957695537032919e+02
6.507440000000000000e+05,4.848280923479670719e+02,4.839140055801623248e+02
6.607440000000000000e+05,4.775923058936617167e+02,4.844756506967146947e+02
