2.580000000000000000e+02,1.231900705537789145e+04,5.820147935812929063e+01,9.173550068047284789e-01,1.262984841624634980e+00
5.150000000000000000e+02,1.857688105527170819e+03,1.772155322881311834e+00,4.132094750424541996e-02,8.935961661558936564e-01
7.720000000000000000e+02,7.766552362541729053e+02,1.055978132367029199e+00,3.456848232895010087e-01,5.576088198189655953e-01
1.029000000000000000e+03,4.533023259886198275e+02,1.082737712931182816e+00,1.294588998928843937e-01,8.839768007353523416e-01
1.286000000000000000e+03,4.110047944774391908e+02,5.419045979887882059e-01,2.794884396265954196e-01,2.902664981525278076e-01
1.543000000000000000e+03,3.792298490799890374e+02,6.698339324145803353e-01,1.131333810573765808e-01,1.820555630032396621e-01
1.800000000000000000e+03,2.943519226005225846e+02,1.407492612494786854e+00,1.384798362115893244e+00,8.990247916894152924e-01
2.057000000000000000e+03,3.040470782666770333e+02,6.218390871727955682e-01,2.226258555809068618e-01,1.650350752500123086e+00
2.314000000000000000e+03,3.409237483105805495e+02,7.133276647733696185e-01,3.077917060140821226e-01,1.223647861703445194e+00
2.571000000000000000e+03,3.183244127174443179e+02,7.751203305318405956e-01,3.484082575134492821e+00,1.674560300424444481e+00
2.828000000000000000e+03,2.473724233125085732e+02,2.687267181689321216e-01,1.968131369020863941e+00,5.198311045195302960e-02
3.085000000000000000e+03,2.524028247321798801e+02,6.324469388416773530e-01,3.402806972263805463e-03,9.661017389397541510e-01
3.342000000000000000e+03,1.737290415851085470e+02,3.380078916321882510e-01,1.365729770988127756e-01,5.116310207537306809e-01
3.599000000000000000e+03,1.599537381572216930e+02,4.252728094351280186e-01,2.224138721689763454e-01,6.251331634220470557e-01
3.856000000000000000e+03,1.054648177227099808e+02,3.794901174492177898e-01,3.599626309955826775e-01,6.623760975996899614e-01
4.113000000000000000e+03,9.884844275546771541e+01,1.853847227455700519e-01,2.861257424188110576e-01,2.683283183047602272e-01
4.370000000000000000e+03,8.942510937211784494e+01,2.460435070803187463e-01,1.771813220882553219e-01,4.083365767642058719e-01
4.627000000000000000e+03,6.908770213985535236e+01,5.989899054328632344e-01,2.119165807864735740e-01,1.670630342686227010e+00
4.884000000000000000e+03,6.981501834775464488e+01,3.643530217340528177e-01,6.940475206110506834e-01,5.710154988390877540e-01
5.141000000000000000e+03,7.060297106309529624e+01,4.843230683671591041e-01,4.065160677239344489e-01,9.605877536954912088e-01
5.398000000000000000e+03,1.593654699903766527e+02,4.891528161565354971e-01,7.618329039467318653e-01,6.538654694312089344e-01
5.655000000000000000e+03,1.304814968250783238e+02,7.396024839188474198e-01,2.646599180680220265e+00,2.060813476273701372e+00
5.912000000000000000e+03,4.854100738396840597e+01,5.584205902248949860e-01,1.350738375872158947e+00,1.149489031097261638e+00
6.169000000000000000e+03,6.102054820707883209e+01,5.721010554571949180e-01,9.800568067186671284e-01,1.098801659353501048e+00
6.426000000000000000e+03,6.203574789446100368e+01,4.033905823838512816e-01,1.035120636483753076e+00,1.031116669735488545e+00
6.683000000000000000e+03,4.365838928611489678e+01,5.614292821816625478e-01,4.887320088406731378e-01,8.683067755803456356e-01
6.940000000000000000e+03,3.897848375589939707e+01,4.806915390989120462e-01,9.096420016187198865e-01,7.163835515502933182e-01
7.197000000000000000e+03,4.663899493030029220e+01,6.034910493356773209e-01,5.240529516299685664e-01,7.461319156611794234e-01
7.454000000000000000e+03,4.470084787020661565e+01,6.865891925305367405e-01,5.147616494457288860e-01,1.133422155609187687e+00
7.711000000000000000e+03,4.789411667452326071e+01,5.225696278314200249e-01,7.889385378046824826e-01,9.046735632960920537e-01
7.968000000000000000e+03,4.780367626331036490e+01,5.742085034112682784e-01,8.168695198192624796e-01,1.484445633842858658e+00
8.225000000000000000e+03,3.372298516666995738e+01,5.140508919732579285e-01,7.880601089616320332e-01,1.368045688547367966e+00
8.482000000000000000e+03,3.032331348207053168e+01,4.966869116554414321e-01,1.381762385372221402e+00,1.576541531545633035e+00
8.739000000000000000e+03,2.788557164931273391e+01,4.188290181214366914e-01,8.516738247035131604e-01,1.689008425139139957e+00
8.996000000000000000e+03,3.963775745856150934e+01,5.152115837188407932e-01,1.753382414692759239e+00,1.699689496862361704e+00
9.253000000000000000e+03,5.829897205622224021e+01,6.531406432715989308e-01,2.336364435585832844e+00,3.831089988928129131e+00
9.510000000000000000e+03,4.073976043740033504e+01,5.802849524513984392e-01,2.771217279346092965e+00,2.864911819231330981e+00
9.767000000000000000e+03,2.902465493402337415e+01,5.479749522533557959e-01,2.821436350466616894e+00,3.748896617523282515e+00
1.002400000000000000e+04,4.927681790073444290e+01,9.482014940277597725e-01,2.793933472157666742e+00,3.546196192606980713e+00
1.028100000000000000e+04,2.292442522196862242e+01,3.824296825695117086e-01,1.910319864580612981e+00,7.821878312353884866e-01
1.053800000000000000e+04,4.324785716629325805e+01,3.914251767306318186e-01,1.902528077482193991e-01,7.376223512155795081e-01
1.079500000000000000e+04,2.315317087623928316e+01,2.952475821132612976e-01,1.452953345650448647e+00,9.081109539857356028e-01
1.105200000000000000e+04,7.474425541190967692e+01,1.132169434740647240e+00,6.686023132264193869e+00,6.576703108912903772e+00
1.130900000000000000e+04,7.405417402316808761e+01,1.348291926720603051e+00,8.773618020196899181e+00,1.265864111377207557e+01
1.156600000000000000e+04,4.833462089240646264e+01,1.005932714580603626e+00,1.079985019411327585e+01,5.796617545961239237e+00
1.182300000000000000e+04,3.117775843924491141e+01,6.365689276951644882e-01,6.116582693998039666e+00,4.253406465210948006e+00
1.208000000000000000e+04,6.335643789898450962e+01,9.099373453749352025e-01,7.259065041960747422e+00,4.398180014224058354e+00
1.233700000000000000e+04,1.178413651370590145e+02,1.100031842031156337e+00,7.652520304622902003e+00,1.166832115703321726e+01
1.259400000000000000e+04,4.476844509650164383e+01,6.062287587303440972e-01,1.158797833117186116e+01,6.522921373118927058e+00
1.285100000000000000e+04,4.416069955660793056e+01,6.311895016300516081e-01,5.489598473628391595e+00,6.927163049084148483e+00
