1.074400000000000000e+04,3.936615135459747421e+02,2.077169443441139407e+00,1.439475216156644599e+01,4.583979883018130863e+00
2.074400000000000000e+04,2.977819987389324865e+02,3.339819367605973532e+00,2.265761826017585179e+01,1.668121372712660033e+01
3.074400000000000000e+04,2.750093802836367018e+01,6.295466743627873285e-01,3.931026943619726044e+00,1.335830218174606454e+00
4.074400000000000000e+04,6.561028642657130661e+01,1.938665849378681250e+00,5.469480165355255608e+00,6.001188820716227390e+00
5.074400000000000000e+04,3.723961460829005432e+01,1.406486936568757340e+00,7.447990213860120612e+00,4.768199049158579506e+00
6.074400000000000000e+04,2.194294306042210962e+01,1.663397743312262200e+00,3.621605992985579725e+00,7.612131606984220866e+00
7.074400000000000000e+04,1.103441387810482510e+01,8.882926759720370935e-01,1.117062075984865110e+01,1.871450999088724920e+00
8.074400000000000000e+04,1.980093233910088912e+01,2.220962272522864378e+00,2.536553957866064124e+01,1.798838428668086209e+01
9.074400000000000000e+04,5.884605680330391664e+01,4.448707108403861632e+00,1.035640195092375535e+02,9.507833234695547731e+01
1.007440000000000000e+05,8.286637001099222744e+01,3.853047457199971326e+00,1.367103687480840790e+02,1.395227664208157137e+02
1.107440000000000000e+05,7.510259211444108018e+01,3.498341325563078197e+00,1.873084927821786039e+02,2.147723680682713905e+02
1.207440000000000000e+05,1.529997314597895866e+02,3.699809085345723503e+00,1.237258030047943436e+02,2.394455966855825011e+02
1.307440000000000000e+05,6.313776212091920570e+01,3.341701399686361373e+00,2.469640994663070614e+02,2.586688784460284296e+02
1.407440000000000000e+05,9.907133209459620105e+01,3.496474853566223562e+00,2.989700205242536981e+02,2.697342534840967687e+02
1.507440000000000000e+05,7.618154186541700312e+01,2.904187712396288035e+00,3.415488413866852397e+02,2.922729849988697310e+02
1.607440000000000000e+05,5.995159270904642312e+01,3.417000071991670662e+00,3.559962801001910293e+02,3.655133724149062573e+02
1.707440000000000000e+05,4.977029866878032749e+01,2.769702840302657343e+00,3.585020320843520381e+02,4.474278715927566736e+02
1.807440000000000000e+05,8.528149246131285111e+01,2.321538150310568760e+00,4.361262353083879475e+02,3.995118038056871228e+02
1.907440000000000000e+05,7.278469880183099860e+01,3.182568751378482386e+00,4.408242170085787279e+02,4.045261996541585177e+02
2.007440000000000000e+05,9.021313489413117281e+01,4.287238557180069520e+00,1.432279342846219663e+02,1.193841543024281293e+02
